,CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN
0,16-01-0137-46,16-006,ALTA VERAPAZ,COBAN,INSTITUTO MIXTO NOCTURNO FRANCISCO MARROQUIN,A AVENIDA  ZONA,['NO_VALIDO'],JORGE EDUARDO PAQUE LAZARO,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR)
1,16-01-0138-46,16-01-0926,ALTA VERAPAZ,COBAN,COLEGIO COBAN,KM SALIDA A SAN JUAN CHAMELCO ZONA,['77945104'],JOSE ARTURO CHOC CHEN,GUSTAVO ADOLFO SIERRA POP,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
2,16-01-0139-46,16-01-0927,ALTA VERAPAZ,COBAN,COLEGIO PARTICULAR MIXTO VERAPAZ,KM  ENTRADA A LA CIUDAD,['58015763'],ARMANDO AUDILIO POP CUCUL,GILMA DOLORES GUAY PAZ DE LEAL,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
3,16-01-0140-46,16-01-0926,ALTA VERAPAZ,COBAN,"COLEGIO ""LA INMACULADA""",A AVENIDA  ZONA,['78232301'],JOSE ARTURO CHOC CHEN,VIRGINIA SOLANO SERRANO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
4,16-01-0141-46,16-01-0924,ALTA VERAPAZ,COBAN,ESCUELA NACIONAL DE CIENCIAS COMERCIALES,A CALLE  ZONA,['40389968'],MOISES ADRIAN LOPEZ PEREZ,ESTELA DEL CARMEN QUIM ROSALES,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
5,16-01-0142-46,16-01-0925,ALTA VERAPAZ,COBAN,INSTITUTO NORMAL MIXTO DEL NORTE 'EMILIO ROSALES PONCE',A AVE  ZONA,['54457786'],NORA LILIANA FIGUEROA HERNANDEZ,VICTOR HUGO DOMINGUEZ REYES,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,BILINGUE,VESPERTINA,DIARIO(REGULAR)
6,16-01-0143-46,16-01-0923,ALTA VERAPAZ,COBAN,COLEGIO PARTICULAR MIXTO IMPERIAL,A CALLE  ZONA,['57101061'],EFRAIN CAAL CUC,MYNOR GUSTAVO IPIÑA ESPAÑA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA
7,16-01-0145-46,16-006,ALTA VERAPAZ,COBAN,INSTITUTO DE TURSMO Y AVIACON DEL NORTE I.T.A.N,AV  ZONA,['54641454'],JORGE EDUARDO PAQUE LAZARO,LUIS FERNANDO SOTO,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
8,16-01-0147-46,16-031,ALTA VERAPAZ,COBAN,"COLEGIO ""LA INMACULADA""",A CALLE  ZONA  COBAN,['49532425'],PATRICIO NAJARRO ASENCIO,ROSA MARIA ZAMORA GONZALEZ,DIVERSIFICADO,PRIVADO,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,DIARIO(REGULAR)
9,16-01-0150-46,16-006,ALTA VERAPAZ,COBAN,INSTITUTO INTERCULTRUAL ALTAVERAPACENCESE -IIAV-,A AVAENIDA  ZONA,['NO_VALIDO'],JORGE EDUARDO PAQUE LAZARO,GUILLERMO ESTUARDO VASQUEZ MORALES,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,BILINGUE,DOBLE,FIN DE SEMANA
