CODIGO;DEPARTAMENTO;MUNICIPIO;ESTABLECIMIENTO;SUPERVISOR;DIRECTOR;NIVEL;SECTOR;AREA;STATUS;MODALIDAD;JORNADA;PLAN;DEPARTAMENTAL
16-01-0137-46;ALTA VERAPAZ;COBAN;INSTITUTO MIXTO NOCTURNO FRANCISCO MARROQUIN;JORGE EDUARDO PAQUE LAZARO;--;DIVERSIFICADO;PRIVADO;URBANA;CERRADA DEFINITIVAMENTE;MONOLINGUE;NOCTURNA;DIARIO(REGULAR);ALTA VERAPAZ
16-01-0138-46;ALTA VERAPAZ;COBAN;COLEGIO COBAN;JOSE ARTURO CHOC CHEN;GUSTAVO ADOLFO SIERRA POP;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ALTA VERAPAZ
16-01-0139-46;ALTA VERAPAZ;COBAN;COLEGIO PARTICULAR MIXTO VERAPAZ;ARMANDO AUDILIO POP CUCUL;GILMA DOLORES GUAY PAZ DE LEAL;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ALTA VERAPAZ
16-01-0140-46;ALTA VERAPAZ;COBAN;"COLEGIO ""LA INMACULADA""";JOSE ARTURO CHOC CHEN;VIRGINIA SOLANO SERRANO;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ALTA VERAPAZ
16-01-0141-46;ALTA VERAPAZ;COBAN;ESCUELA NACIONAL DE CIENCIAS COMERCIALES;MOISÉS ADRIÁN LÓPEZ PÉREZ;ESTELA DEL CARMEN QUIM ROSALES;DIVERSIFICADO;OFICIAL;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ALTA VERAPAZ
16-01-0142-46;ALTA VERAPAZ;COBAN;INSTITUTO NORMAL MIXTO DEL NORTE 'EMILIO ROSALES PONCE';NORA LILIANA FIGUEROA HERNÁNDEZ;VICTOR HUGO DOMÍNGUEZ REYES;DIVERSIFICADO;OFICIAL;URBANA;ABIERTA;BILINGUE;VESPERTINA;DIARIO(REGULAR);ALTA VERAPAZ
16-01-0143-46;ALTA VERAPAZ;COBAN;COLEGIO PARTICULAR MIXTO IMPERIAL;EFRAIN CAAL CUC;MYNOR GUSTAVO IPIÑA ESPAÑA;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;DOBLE;FIN DE SEMANA;ALTA VERAPAZ
16-01-0145-46;ALTA VERAPAZ;COBAN;INSTITUTO DE TURSMO Y AVIACON DEL NORTE I.T.A.N;JORGE EDUARDO PAQUE LAZARO;LUIS FERNANDO SOTO;DIVERSIFICADO;PRIVADO;URBANA;CERRADA TEMPORALMENTE;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ALTA VERAPAZ
16-01-0147-46;ALTA VERAPAZ;COBAN;"COLEGIO ""LA INMACULADA""";PATRICIO NAJARRO ASENCIO;ROSA MARÍA ZAMORA GONZÁLEZ;DIVERSIFICADO;PRIVADO;RURAL;CERRADA TEMPORALMENTE;MONOLINGUE;DOBLE;DIARIO(REGULAR);ALTA VERAPAZ
16-01-0150-46;ALTA VERAPAZ;COBAN;INSTITUTO INTERCULTRUAL ALTAVERAPACENCESE -IIAV-;JORGE EDUARDO PAQUE LAZARO;GUILLERMO ESTUARDO VASQUEZ MORALES;DIVERSIFICADO;PRIVADO;URBANA;CERRADA TEMPORALMENTE;BILINGUE;DOBLE;FIN DE SEMANA;ALTA VERAPAZ
16-01-0155-46;ALTA VERAPAZ;COBAN;"LICEO ""MODERNO LATINO""";MOISÉS ADRIÁN LÓPEZ PÉREZ;HÉCTOR ARMANDO TEYUL CHEN;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;DOBLE;FIN DE SEMANA;ALTA VERAPAZ
16-01-0428-46;ALTA VERAPAZ;COBAN;INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA;JOSE ARTURO CHOC CHEN;HELSON MARCO CHÉN GUTIERREZ;DIVERSIFICADO;OFICIAL;RURAL;ABIERTA;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);ALTA VERAPAZ
16-01-0471-46;ALTA VERAPAZ;COBAN;"COLEGIO DE INFORMATICA ""CENINFAV""";MOISÉS ADRIÁN LÓPEZ PÉREZ;MARIA MAGDALENA BOL CU;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);ALTA VERAPAZ
16-01-0478-46;ALTA VERAPAZ;COBAN;"COLEGIO EVANGELICO ""LA PATRIA""";PATRICIO NAJARRO ASENCIO;AURA EUNICE SOTO FONSECA;DIVERSIFICADO;PRIVADO;URBANA;CERRADA TEMPORALMENTE;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ALTA VERAPAZ
16-01-0481-46;ALTA VERAPAZ;COBAN;LICEO AMERICANO DEL NORTE;NORA LILIANA FIGUEROA HERNÁNDEZ;JOSÉ CUPERTINO REYES GARCIA;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ALTA VERAPAZ
16-01-0483-46;ALTA VERAPAZ;COBAN;LICEO AMERICANO DEL NORTE;NORA LILIANA FIGUEROA HERNÁNDEZ;JOSÉ CUPERTINO REYES GARCIA;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;DOBLE;FIN DE SEMANA;ALTA VERAPAZ
16-01-0557-46;ALTA VERAPAZ;COBAN;"COLEGIO ""LA LIBERTAD""";PATRICIO NAJARRO ASENCIO;ERICK FERNANDO CHOC GARCIA;DIVERSIFICADO;PRIVADO;URBANA;CERRADA TEMPORALMENTE;MONOLINGUE;DOBLE;FIN DE SEMANA;ALTA VERAPAZ
16-01-0558-46;ALTA VERAPAZ;COBAN;"INSTITUTO NORMAL PREPRIMARIA BILINGUE ADSCRITO AL INSTITUTO NORMAL MIXTO DEL NORTE ""EMILIO ROSALES PONCE""";NORA LILIANA FIGUEROA HERNÁNDEZ;VICTOR HUGO DOMÍNGUEZ REYES;DIVERSIFICADO;OFICIAL;URBANA;ABIERTA;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);ALTA VERAPAZ
16-01-0559-46;ALTA VERAPAZ;COBAN;INSTITUTO NORMAL PRIMARIA BILINGUE INTERCULTURAL ADS. AL INSTITUTO EMILIO ROSALES PONCE;NORA LILIANA FIGUEROA HERNÁNDEZ;VICTOR HUGO DOMÍNGUEZ REYES;DIVERSIFICADO;OFICIAL;URBANA;ABIERTA;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);ALTA VERAPAZ
16-01-0563-46;ALTA VERAPAZ;COBAN;CENTRO DE FORMACION INTEGRAL LAS CONCHAS FMG;NELSON OMAR TENÍ BREMER;DAVID WALDEMAR URRUTIA CHOC;DIVERSIFICADO;PRIVADO;RURAL;ABIERTA;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);ALTA VERAPAZ
16-01-0565-46;ALTA VERAPAZ;COBAN;"INSTITUTO MIXTO PRIVADO ""SALUD Y DESARROLLO""";NORA LILIANA FIGUEROA HERNÁNDEZ;RONALD ARMANDO CAAL TIUL;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;DOBLE;FIN DE SEMANA;ALTA VERAPAZ
16-01-0568-46;ALTA VERAPAZ;COBAN;INSTITUTO PRIVADO RAUL CHENAL HEINEMANN;MOISÉS ADRIÁN LÓPEZ PÉREZ;SILVIA BEATRIZ SOTO CHÉN;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;NOCTURNA;DIARIO(REGULAR);ALTA VERAPAZ
16-01-0570-46;ALTA VERAPAZ;COBAN;LICEO MIGUEL ANGEL ASTURIAS;PATRICIO NAJARRO ASENCIO;JAYRON ARIEL COY CACAO;DIVERSIFICADO;PRIVADO;URBANA;CERRADA TEMPORALMENTE;MONOLINGUE;DOBLE;FIN DE SEMANA;ALTA VERAPAZ
16-01-0572-46;ALTA VERAPAZ;COBAN;LICEO MIGUEL ANGEL ASTURIAS;MOISÉS ADRIÁN LÓPEZ PÉREZ;JAYRON ARIEL COY CACAO;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ALTA VERAPAZ
16-01-0573-46;ALTA VERAPAZ;COBAN;COLEGIO CRISTIANO BILINGUE VERBO;JOSE ARTURO CHOC CHEN;LESLY EUGENIA CHOCOOJ VIDAURRE;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ALTA VERAPAZ
16-01-0574-46;ALTA VERAPAZ;COBAN;ESCUELA NACIONAL DE CIENCIAS COMERCIALES;MOISÉS ADRIÁN LÓPEZ PÉREZ;MAYNOR ROBERTO CAAL BOL;DIVERSIFICADO;OFICIAL;URBANA;ABIERTA;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);ALTA VERAPAZ
16-01-0583-46;ALTA VERAPAZ;COBAN;COLEGIO NUEVOS SENDEROS;EFRAIN CAAL CUC;ZOYLA ARGENTINA MOLLINEDO ALVARADO;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ALTA VERAPAZ
16-01-0587-46;ALTA VERAPAZ;COBAN;LICEO MIXTO EN COMPUTACION DEL NORTE;EDETANO OXOM YAT;JULIO ROBERTO PERALTA COL;DIVERSIFICADO;PRIVADO;URBANA;CERRADA DEFINITIVAMENTE;MONOLINGUE;DOBLE;FIN DE SEMANA;ALTA VERAPAZ
16-01-0588-46;ALTA VERAPAZ;COBAN;LICEO MIXTO EN COMPUTACION DEL NORTE;EDETANO OXOM YAT;JULIO ROBERTO PERALTA COL;DIVERSIFICADO;PRIVADO;URBANA;CERRADA DEFINITIVAMENTE;MONOLINGUE;DOBLE;FIN DE SEMANA;ALTA VERAPAZ
16-01-0604-46;ALTA VERAPAZ;COBAN;INSTITUTO PRIVADO RAUL CHENAL HEINEMANN;MOISÉS ADRIÁN LÓPEZ PÉREZ;SILVIA BEATRIZ SOTO CHÉN;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ALTA VERAPAZ
16-01-0609-46;ALTA VERAPAZ;COBAN;INSTITUTO MIXTO DE EDUCACION BILINGUE INTERCULTURAL -IMEBI-;EFRAIN CAAL CUC;JUAN PASCUAL LUCAS ANTONIO;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);ALTA VERAPAZ
